Word,Year,OED_OriginPOS,OriginForm,OriginYear,Comment,Origin
husky,1552,noun,husk,,,origin unknown
icy,OE,noun,ice,eOE/OE/a1225,,Germanic
immense,c1450,adj,,,directly borrowed as adjective,French borrowing
insipid,1620,adj,,,directly borrowed as adjective,Latin borrowing
itchy,1530,noun,itch,a800,,Germanic
jagged,c1440,noun or verb,jag,c1400,,possibly imitative
jammy,1853,noun or verb,jam,1719,,possibly imitative
jingling,1558,verb,jingle,c1387-1395,,imitative
juicy,c1430,noun,juice,c1290,,French borrowing
khaki,1857,adj,,,directly borrowed as adjective,Urdu
large,?a1200,adj,,,directly borrowed as adjective,French borrowing
laughing,OE/a1325,verb,laugh,eOE/OE/c1200,,Germanic/probably imitative
leathery,1552,noun,leather,c1000,,Germanic
lemony,1859,noun,lemon,c1400,,French borrowing
light,OE/c893,adj,,,,Germanic
lilting,1800,verb,lilt,?c1380,,origin unknown
lithe,OE/c888,adj,,,,Germanic
little,eOE/OE/?c1175,adj,,,,Germanic
long,c888,adj,,,,Germanic
loose,?c1225,adj,,,,unclear
loud,c897,adj,,,,Germanic
low,c1200,adj,,,,Scandinavian
lukewarm,1398,adj,warm,c888,,Germanic
lumpy,1707,adj,lump,a1300,,unclear
lush,c1440,adj,,,,imitative
malty,1710,noun,malt,eOE/OE/c1225,,Germanic
meaty,1787,noun,meat,eOE/OE/?c1200,,Germanic
medicinal,a1384,adj,,,directly borrowed as adjective,French borrowing
mellow,1440,adj,,,,unclear
melodious,c1385,adj,,,directly borrowed as adjective,French borrowing
melted,OE/a1425,verb,melt,eOE/OE/?1200,merging of two Germanic words,Germanic
meowing,1632,verb,,,entry of 'miaow',imitative
metal,?1518,noun/adj same form,metal (n.),?a1200,,French borrowing
mild,eOE/OE/?c1200,adj,,,,Germanic
miniature,1714,noun/adj same form,miniature (n.),a1586,,Italian borrowing
minty,1857,noun,mint,eOE/OE/a1300,,Germanic
misty,OE/c1325,noun,mist,eOE/OE/c1300,,Germanic
moaning,a1450,noun,moan,?a1200,moaning > moan (v.) > moan (n.),"unclear, partly imitative"
moist,a1382,adj,,,directly borrowed as adjective,Anglo-Norman
motionless,1598,noun,motion,a1387,,French borrowing
mottled,1676,verb,motley,1371,mottled > mottle (v.) > motley (v.) > motley (n.),unclear
moldy,1495,noun,mold,a1325,,unclear
muddy,c1450,noun,mud,?a1300,perhaps borrowed from another Germanic language,Germanic
muffled,1566,verb,muffle,?a1425,,unclear
muggy,a1728,noun,mug,a1728,,unclear
mumbling,a1450,verb,mumble,c1325,,probably imitative
murky,c1340,noun,murk,OE/c1303,,unclear
murmuring,1530,verb,murmur,a1325,,French borrowing
mushroomy,1860,noun,mushroom,a1400,,Anglo-Norman
mushy,1768,noun,mush,1671,,probably imitative
musky,1580,noun,musk,1394,,French borrowing
musty,1492,adj,,,,unclear
mute,c1378,adj,,,directly borrowed as adjective,French borrowing
muttering,1567,verb,mutter,c1395,,probably imitative
narrow,OE/?a1160,adj,,,,Germanic
noisy,1675,noun,noise,?a1200,,French borrowing
noxious,a1500,adj,,,directly borrowed as adjective,Latin borrowing
nutty,?c1421,noun,nut,eOE/OE/c1150,,Germanic
odorous,?a1425,adj,,,directly borrowed as adjective,Latin borrowing
oily,1392,noun,oil,?OE/1221,,Anglo-Norman
oniony,1838,noun,onion,1356-1357,,Anglo-Norman
open,eOE/OE/?c1200,adj,,,,Germanic
orange,a1400,noun/adj same form,,,directly borrowed as adjective,Anglo-Norman
orangey,1779,noun,orange,a1400,,Anglo-Norman
oval,1561,adj,,,directly borrowed as adjective,probably French
painful,a1325,noun,pain,c1300,,Anglo-Norman
palatable,1619,noun,palate,a1382,palatable > palate (v.) > palate (n.),Latin borrowing
pale,c1330,adj,,,directly borrowed as adjective,Anglo-Norman
patterned,1655,noun,patron,c1300,chose the earlier one,Anglo-Norman
peachy,1599,noun,peach,?a1400,,Anglo-Norman
peppery,1610,noun,pepper,eOE/OE/c1150,probably deep rooted in PIE,unclear
perfumed,1538,noun or verb,perfume,1538,,French borrowing
petite,1766,adj,,,directly borrowed as adjective,French borrowing
pink,1566,noun/adj same form,,,"entry: pink, n.5 and adj.2",origin unknown
plain,c1330,adj,,,directly borrowed as adjective,French borrowing
plastic,1624,adj,,,directly borrowed as adjective,Latin borrowing
polished,a1382,verb,polish,a1325,,Anglo-Norman
popping,1528,verb,pop,c1390,,imitative
portly,c1475,noun,port,?a1300,,Anglo-Norman
prickly,1577,verb,prick,OE/c1225,through a noun stage,Germanic
puffy,a1594,verb,puff,OE/?1490,through a noun stage,imitative
pulsing,1559,verb,pulse,?a1425,,Latin borrowing
pungent,1598,adj,,,directly borrowed as adjective,Latin borrowing
puny,1548,adj,,,directly borrowed as adjective,Anglo-Norman
purple,OE/c1250,adj,purpure,eOE/OE/?c1200,directly borrowed as adjective,Latin borrowing
purring,1685,verb,purr,1620,,imitative
putrid,?a1425,adj,,,directly borrowed as adjective,Latin borrowing
quiet,a1382,adj,,,directly borrowed as adjective,Anglo-Norman
radiant,c1450,adj,,,directly borrowed as adjective,Latin borrowing
rancid,1627,adj,,,directly borrowed as adjective,Latin borrowing
raspy,1821,verb,rasp,?c1380,,unclear
raucous,1615,adj,,,directly borrowed as adjective,Latin borrowing
rectangular,?a1560,adj,,,probably directly borrowed from Latin,Latin borrowing
red,eOE/OE/?a1200,adj,,,,Germanic
reddish,a1398,adj,red,eOE/OE/?a1200,,Germanic
reeking,OE/c1340,verb,reek,eOE/OE/a1400,merging of two Germanic words,Germanic
resounding,c1425,verb,resound,c1385,,Anglo-Norman
reverberating,1632,verb,reverberate,c1487,,Latin borrowing
rhythmic,1603,adj,,,directly borrowed as adjective,French borrowing
ripe,OE/lOE/?c1200,adj,,,,Germanic
rippled,a1729,verb,ripple,1614,,origin unknown
rippling,1589,verb,ripple,1614,"probably from ripple, but not clear",origin unknown
roasted,c1280,verb,roast,a1300,,Anglo-Norman
roasting,1567,verb,roast,a1300,,Anglo-Norman
rotten,?a1200,adj,,,directly borrowed as adjective,Scandinavian
rotund,1392,adj,,,directly borrowed as adjective,Latin borrowing
rough,eOE/OE/?a1200,adj,,,,Germanic
round,c1300,adj,,,directly borrowed as adjective,Anglo-Norman
rubbery,1879,noun,rubber,a1325,rubbery > rubber (n.) > rub,unclear
rumbling,1542,verb,rumble,c1375,,possibly imitative
rustling,1565,verb,rustle,a1387,,probably imitative
rusty,eOE/OE/a1225,adj,,,,probably Germanic
salty,c1440,noun,salt,c1000,,Germanic
savory,?c1200,adj,,,directly borrowed as adjective,Anglo-Norman
scaly,1528,noun,scale,?c1300,shortened,French borrowing
scented,?c1562,verb,scent,a1398,,Anglo-Norman
scentless,1605,verb,scent,a1398,through a noun stage,Anglo-Norman
scratchy,1710,verb,scratch,1471,through a noun stage,unclear
scrawny,1820,adj,scrannel,1638,,unclear
screaming,1616,verb,scream,a1200,,probably Germanic
screeching,1816,verb,screech,1577,or else 'scritch (v.)' a1275,imitative
searing,1665,verb,sear,?c890,,Germanic
shadowy,1374,noun,shadow,OE/c1050,,Germanic
shaggy,c1590,noun,shag,c1050,,probably Germanic
shallow,14..,adj,,,,unclear
sharp,c825,adj,,,,Germanic
sheer,?a1200,adj,,,,probably Germanic
shimmering,c1000,adj,,,#NAME?,probably Germanic
shiny,1590,verb,shine,c725,through a noun stage,Germanic
short,c888,adj,,,,Germanic
shrieking,a1586,verb,screak,?a1500,"perhaps also shrike, v.",probably imitative
shrill,c1386,adj,,,,unclear
silent,1565,adj,,,,Latin borrowing
silky,1611,noun,silk,c888,,probably Germanic
silver,c825,adj,,,,Germanic
skinny,c1400,noun,skin,OE/?c1200,,Scandinavian
slick,?a1366,adj,,,,unclear
slimy,1398,noun,slime,,,Germanic
slippery,1535,adj,slipper,a1050,,unclear
slushy,1791,noun,slush,,,unclear
small,eOE/OE/?a1200,adj,,,,Germanic
smelly,1862,noun,smell,a1175,,unclear
smoky,1310,noun,smoke,c1000,,probably Germanic
smooth,a1050,adj,,,,unclear
snarling,1593,verb,snarl,1530,,probably imitative
snorting,1573,verb,snort,a1366,,probably imitative
soapy,1610,noun,soap,c1000,,unclear
sodden,a1325,verb,seeth,OE/c1000,,Germanic
soft,c1000,adj,,,,Germanic
soggy,a1722,noun or verb,sog,a1552,,unclear
solid,1391,adj,,,directly borrowed as adjective,French borrowing
sonorous,1611,adj,,,,Latin borrowing
sore,c897,adj,,,,Germanic
soundless,a1616,noun,sound,a1330,,Anglo-Norman
sour,a1000,adj,,,,Germanic
sparkly,1922,noun,spark,c725,sparkly > sparkle (v.) > spark (n.) ,unclear
speckled,a1400,adj,,,,unclear
spicy,1526,noun,spice,?a1200,,French borrowing
spiky,1720,noun,spike,1345-1346,,unclear
spilling,a1122,verb,spill,c950,the really bad senses have been lost (l?),Germanic
spotless,?c1380/c1400,noun,spot,a1200,,unclear
spotted,c1250,noun,spot,a1200,,unclear
square,a1300,adj,,,directly borrowed as adjective,French borrowing
squeaking,1576,verb,squeak,1387,,imitative
squealing,a1325,verb,squeal,a1300,,imitative
stagnant,1666,adj,,,directly borrowed as adjective,Latin borrowing
stale,c1300,adj,,,,unclear
steep,OE/?a1200,adj,,,,Germanic
stenchy,1757,noun,stench,c893,,Germanic
sticky,1727,verb,stick,a900,,Germanic
stinging,?a1200,verb,sting,c888,,Germanic
stinky,1888,verb,stink,c725,stinky > stink (n.) > stink (v.),Germanic
stormy,a1200,noun,storm,c825,,Germanic
straight,c1350,verb,stretch,c900,,Germanic
strange,c1290,adj,,,directly borrowed as adjective,French borrowing
striped,1604,verb,stripe,1471,,unclear
strong,c825,adj,,,,Germanic
sturdy,1297,adj,,,directly borrowed as adjective,French borrowing
sunny,a1300,noun,sun,c888,,Germanic
sweaty,c1374,noun,sweat,?a1300,,unclear
sweet,c825,adj,,,,Germanic
swift,c888,adj,,,,Germanic
swinging,c1200,verb,swing,c725,,Germanic
tall,c1000,adj,,,,origin unknown
tangerine,1710,adj/noun,,,directly borrowed as adjective,Morocco
tangy,1875,noun,tang,a1350,also from touch sense,unclear
tapering,a1625,noun,taper,c897,through verb sense,unclear
tarry,1552,noun,tar,a700,,Germanic
tart,c1000,adj,,,of pain & punishment,origin unknown
tasteless,1603,noun,taste,1292,from the sense of touch!!,French borrowing
tasty,a1617,noun,taste,1292,from the sense of touch!!,French borrowing
tender,?a1200,adj,,,directly borrowed as adjective,French borrowing
tepid,c1400,adj,,,directly borrowed as adjective,Latin borrowing
thorny,a1023,noun,thorn,c950/OE,,Germanic
thudding,a1813,verb,thud,1513,,probably imitative
thumping,1576,verb,thump,,,imitative
thunderous,1582,noun,thunder,c725,,Germanic
ticklish,1598,verb,tickle,a1330,,unclear
tight,1379,adj,,,,unclear
tingly,1898,verb,tingle,1388,,probably imitative
tinkling,c1440,verb,tinkle,a1382,,probably imitative
tiny,1598,adj,,,,unclear
tough,a700,adj,,,,Germanic
translucent,1596,adj,,,directly borrowed as adjective,Latin borrowing
transparent,1413,adj,,,directly borrowed as adjective,Latin borrowing
triangular,?1541,adj,,,directly borrowed as adjective,Latin borrowing
ugly,c1250,adj,,,directly borrowed as adjective,Old Norse
uneven,OE/?a1200,adj,,,,Germanic
unpalatable,1658,noun,palate,a1382,unpalatable > palatable (adj) > palate (v.) > palate (n.),Latin borrowing
unripe,OE/?a1216,adj,,,,Germanic
vegetal,1490,adj,,,directly borrowed as adjective,Latin borrowing
vinegary,1730,noun,vinegar,c1315,,French borrowing
vivid,1638,adj,,,,Latin borrowing
wailing,a1382,verb,wail,c1330,,probably Old Norse
warbling,1549-1562,verb,warble,?c1390,,French borrowing
warm,c888,adj,,,,Germanic
waxy,1552,noun,wax,805-810,,Germanic
weak,a1300,adj,,,seems to be directly borrowd as adjective,Old Norse
weightless,a1547,noun,weight,c1000,,Germanic
wet,c888,adj,,,,Germanic
whiffy,1849,noun,whiff,,,probably imitative
whimpering,1598,verb,whimper,1513,,imitative
whining,15..,verb,whine,c1275,,probably Old Norse
whispering,c975,verb,whistle,c950,,Germanic
whistling,c1387-1398,verb,whistle,c1000,,imitative
white,eOE/c1175,adj,,,,Germanic
wide,OE/971,adj,,,,Germanic
wiry,1588,noun,wire,OE/?a1200,,Germanic
wispy,a1717,noun,wisp,1362,,origin unknown
wizened,1513,verb,wizen,c890,,Germanic
woolly,1591,noun,wool,c725,,Germanic
yellow,c700,adj,,,,Germanic
azure,a1330,adj,,,directly borrowed as adjective,French borrowing
babbling,?a1200,verb,babble,?a1200,,probably imitative
balmy,1508,noun,balm,c1220,,French borrowing
black and white,NA,NA,NA,NA,NA,NA
bleating,c1380,verb,bleat,OE/c1000,,imitative
braying,1572,verb,bray,a1300,,French borrowing
bubbling,1582,verb,bubble,1398,,unclear
chiming,1648,verb,chime,a1340,,"unclear, probably Scandinavian"
chirping,1611,verb,chirp,c1440,,imitative
clanging,1576,verb,clang,1576,,probably Latin
clicking,a1682,verb,click,a1393,,probably imitative
coarse,1424,adj,,,,unclear
flexible,1548,adj,,,,French borrowing
granular,1794,adj,,,directly borrowed as adjective,Latin borrowing
grinding,a1000,verb,grind,c1000,,Germanic
humming,1578,verb,hum,c1420,,unclear
metallic,?a1425,adj,,,directly borrowed as adjective,Latin borrowing
roaring,OE/a1382,verb,roar,OE/?c1200,,"Germanic, perhaps ultimatively imitative"
sizzling,1877,verb,sizzle,1603,,imitative
